time,FINAL TIME,INITIAL TIME,SAVEPER,TIME STEP,adjust,change in coffee temp,coffee temp,room temp,diff,coffee temperature,one minute
0,100,0,1,1,30,-1.9333333333333333,87.0,29,-58.0,87.0,1
1,100,0,1,1,30,-1.8688888888888888,85.06666666666666,29,-56.06666666666666,85.5,1
2,100,0,1,1,30,-1.8065925925925925,83.19777777777777,29,-54.19777777777777,84.0,1
3,100,0,1,1,30,-1.7463728395061726,81.39118518518518,29,-52.39118518518518,82.5,1
4,100,0,1,1,30,-1.6881604115226334,79.644812345679,29,-50.644812345679,81.0,1
5,100,0,1,1,30,-1.6318883978052123,77.95665193415637,29,-48.95665193415637,79.5,1
6,100,0,1,1,30,-1.5774921178783718,76.32476353635116,29,-47.324763536351156,78.0,1
7,100,0,1,1,30,-1.5249090472824258,74.74727141847278,29,-45.74727141847278,76.5,1
8,100,0,1,1,30,-1.4740787457063453,73.22236237119036,29,-44.22236237119036,75.0,1
9,100,0,1,1,30,-1.4249427875161336,71.748283625484,29,-42.74828362548401,73.5,1
10,100,0,1,1,30,-1.3774446945989292,70.32334083796788,29,-41.323340837967876,72.0,1
11,100,0,1,1,30,-1.3315298714456314,68.94589614336894,29,-39.94589614336894,70.6,1
12,100,0,1,1,30,-1.2871455423974438,67.61436627192332,29,-38.614366271923316,69.2,1
13,100,0,1,1,30,-1.2442406909841959,66.32722072952588,29,-37.32722072952588,67.8,1
14,100,0,1,1,30,-1.2027660012847226,65.08298003854168,29,-36.08298003854168,66.4,1
15,100,0,1,1,30,-1.1626738012418985,63.880214037256955,29,-34.880214037256955,65.0,1
16,100,0,1,1,30,-1.1239180078671684,62.717540236015054,29,-33.717540236015054,63.6,1
17,100,0,1,1,30,-1.0864540742715962,61.593622228147886,29,-32.593622228147886,62.2,1
18,100,0,1,1,30,-1.050238938462543,60.50716815387629,29,-31.507168153876293,60.8,1
19,100,0,1,1,30,-1.015230973847125,59.45692921541375,29,-30.45692921541375,59.4,1
20,100,0,1,1,30,-0.9813899413855542,58.44169824156663,29,-29.441698241566627,58.0,1
21,100,0,1,1,30,-0.9486769433393692,57.460308300181076,29,-28.460308300181076,57.2,1
22,100,0,1,1,30,-0.9170543785613902,56.511631356841704,29,-27.511631356841704,56.4,1
23,100,0,1,1,30,-0.8864858992760105,55.594576978280315,29,-26.594576978280315,55.6,1
24,100,0,1,1,30,-0.8569363693001435,54.708091079004305,29,-25.708091079004305,54.8,1
25,100,0,1,1,30,-0.8283718236568054,53.85115470970416,29,-24.85115470970416,54.0,1
26,100,0,1,1,30,-0.800759429534912,53.02278288604736,29,-24.02278288604736,53.2,1
27,100,0,1,1,30,-0.7740674485504149,52.222023456512446,29,-23.222023456512446,52.4,1
28,100,0,1,1,30,-0.7482652002654011,51.447956007962034,29,-22.447956007962034,51.6,1
29,100,0,1,1,30,-0.7233230269232211,50.69969080769663,29,-21.699690807696633,50.8,1
30,100,0,1,1,30,-0.6992122593591138,49.976367780773415,29,-20.976367780773415,50.0,1
31,100,0,1,1,30,-0.6759051840471434,49.2771555214143,29,-20.2771555214143,49.5,1
32,100,0,1,1,30,-0.6533750112455718,48.601250337367155,29,-19.601250337367155,49.0,1
33,100,0,1,1,30,-0.6315958442040528,47.94787532612158,29,-18.947875326121583,48.5,1
34,100,0,1,1,30,-0.6105426493972511,47.31627948191753,29,-18.316279481917533,48.0,1
35,100,0,1,1,30,-0.590191227750676,46.70573683252028,29,-17.70573683252028,47.5,1
36,100,0,1,1,30,-0.5705181868256536,46.11554560476961,29,-17.115545604769608,47.0,1
37,100,0,1,1,30,-0.5515009139314652,45.545027417943956,29,-16.545027417943956,46.5,1
38,100,0,1,1,30,-0.5331175501337497,44.99352650401249,29,-15.993526504012493,46.0,1
39,100,0,1,1,30,-0.5153469651292913,44.46040895387874,29,-15.46040895387874,45.5,1
40,100,0,1,1,30,-0.49816873295831504,43.94506198874945,29,-14.945061988749451,45.0,1
41,100,0,1,1,30,-0.4815631085263713,43.44689325579114,29,-14.446893255791139,44.6,1
42,100,0,1,1,30,-0.4655110049088255,42.965330147264766,29,-13.965330147264766,44.2,1
43,100,0,1,1,30,-0.44999397141186465,42.49981914235594,29,-13.499819142355939,43.8,1
44,100,0,1,1,30,-0.4349941723648025,42.049825170944075,29,-13.049825170944075,43.4,1
45,100,0,1,1,30,-0.42049436661930906,41.61483099857927,29,-12.614830998579272,43.0,1
46,100,0,1,1,30,-0.4064778877319988,41.19433663195996,29,-12.194336631959963,42.6,1
47,100,0,1,1,30,-0.3929286248075987,40.78785874422796,29,-11.787858744227961,42.2,1
48,100,0,1,1,30,-0.37983100398067887,40.394930119420366,29,-11.394930119420366,41.8,1
49,100,0,1,1,30,-0.36716997051465633,40.01509911543969,29,-11.01509911543969,41.4,1
50,100,0,1,1,30,-0.35493097149750097,39.64792914492503,29,-10.64792914492503,41.0,1
51,100,0,1,1,30,-0.3430999391142509,39.29299817342753,29,-10.292998173427527,40.7,1
52,100,0,1,1,30,-0.33166327447710914,38.949898234313274,29,-9.949898234313274,40.4,1
53,100,0,1,1,30,-0.32060783199453885,38.618234959836165,29,-9.618234959836165,40.1,1
54,100,0,1,1,30,-0.30992090426138763,38.29762712784163,29,-9.29762712784163,39.8,1
55,100,0,1,1,30,-0.2995902074526747,37.98770622358024,29,-8.98770622358024,39.5,1
56,100,0,1,1,30,-0.2896038672042522,37.688116016127566,29,-8.688116016127566,39.2,1
57,100,0,1,1,30,-0.27995040496411056,37.39851214892332,29,-8.398512148923317,38.9,1
58,100,0,1,1,30,-0.2706187247986402,37.118561743959205,29,-8.118561743959205,38.6,1
59,100,0,1,1,30,-0.26159810063868555,36.84794301916057,29,-7.847943019160567,38.3,1
60,100,0,1,1,30,-0.2528781639507294,36.58634491852188,29,-7.586344918521881,38.0,1
61,100,0,1,1,30,-0.24444889181903828,36.33346675457115,29,-7.333466754571148,37.7,1
62,100,0,1,1,30,-0.23630059542507026,36.08901786275211,29,-7.089017862752108,37.4,1
63,100,0,1,1,30,-0.22842390891090122,35.85271726732704,29,-6.852717267327037,37.1,1
64,100,0,1,1,30,-0.2208097786138713,35.62429335841614,29,-6.624293358416139,36.8,1
65,100,0,1,1,30,-0.21344945266007567,35.40348357980227,29,-6.40348357980227,36.5,1
66,100,0,1,1,30,-0.2063344709047397,35.19003412714219,29,-6.190034127142191,36.2,1
67,100,0,1,1,30,-0.19945665520791495,34.98369965623745,29,-5.983699656237448,35.9,1
68,100,0,1,1,30,-0.19280810003431767,34.78424300102953,29,-5.78424300102953,35.6,1
69,100,0,1,1,30,-0.186381163366507,34.59143490099521,29,-5.5914349009952105,35.3,1
70,100,0,1,1,30,-0.18016845792095684,34.405053737628705,29,-5.405053737628705,35.0,1
71,100,0,1,1,30,-0.17416284265692497,34.22488527970775,29,-5.224885279707749,34.7,1
72,100,0,1,1,30,-0.16835741456836076,34.05072243705082,29,-5.050722437050823,34.4,1
73,100,0,1,1,30,-0.16274550074941535,33.88236502248246,29,-4.88236502248246,34.1,1
74,100,0,1,1,30,-0.1573206507244348,33.719619521733044,29,-4.719619521733044,33.8,1
75,100,0,1,1,30,-0.15207662903362026,33.56229887100861,29,-4.562298871008608,33.5,1
76,100,0,1,1,30,-0.14700740806583285,33.410222241974985,29,-4.410222241974985,33.2,1
77,100,0,1,1,30,-0.1421071611303051,33.26321483390915,29,-4.263214833909153,32.9,1
78,100,0,1,1,30,-0.13737025575929493,33.12110767277885,29,-4.121107672778848,32.6,1
79,100,0,1,1,30,-0.13279124723398514,32.983737417019555,29,-3.9837374170195545,32.3,1
80,100,0,1,1,30,-0.12836487232618576,32.85094616978557,29,-3.8509461697855727,32.0,1
81,100,0,1,1,30,-0.12408604324864617,32.722581297459385,29,-3.722581297459385,31.8,1
82,100,0,1,1,30,-0.11994984180702464,32.59849525421074,29,-3.5984952542107393,31.6,1
83,100,0,1,1,30,-0.11595151374679039,32.47854541240371,29,-3.4785454124037116,31.4,1
84,100,0,1,1,30,-0.11208646328856393,32.36259389865692,29,-3.362593898656918,31.2,1
85,100,0,1,1,30,-0.10835024784561184,32.250507435368355,29,-3.2505074353683554,31.0,1
86,100,0,1,1,30,-0.10473857291742471,32.14215718752274,29,-3.1421571875227414,30.8,1
87,100,0,1,1,30,-0.10124728715351049,32.037418614605315,29,-3.037418614605315,30.6,1
88,100,0,1,1,30,-0.09787237758172687,31.936171327451806,29,-2.936171327451806,30.4,1
89,100,0,1,1,30,-0.09460996499566932,31.83829894987008,29,-2.8382989498700795,30.2,1
90,100,0,1,1,30,-0.09145629949581367,31.74368898487441,29,-2.74368898487441,30.0,1
91,100,0,1,1,30,-0.08840775617928655,31.652232685378596,29,-2.6522326853785962,29.9,1
92,100,0,1,1,30,-0.08546083097331032,31.56382492919931,29,-2.56382492919931,29.8,1
93,100,0,1,1,30,-0.08261213660753329,31.478364098226,29,-2.478364098225999,29.7,1
94,100,0,1,1,30,-0.07985839872061552,31.395751961618465,29,-2.3957519616184655,29.6,1
95,100,0,1,1,30,-0.07719645209659494,31.31589356289785,29,-2.3158935628978483,29.5,1
96,100,0,1,1,30,-0.07462323702670849,31.238697110801255,29,-2.2386971108012546,29.4,1
97,100,0,1,1,30,-0.07213579579248482,31.164073873774544,29,-2.1640738737745444,29.3,1
98,100,0,1,1,30,-0.0697312692660687,31.09193807798206,29,-2.0919380779820607,29.2,1
99,100,0,1,1,30,-0.06740689362386641,31.022206808715993,29,-2.0222068087159926,29.1,1
100,100,0,1,1,30,-0.0651599971697376,30.954799915092128,29,-1.9547999150921278,29.0,1
